"tlx_mental","overallTiATrust","study","overallTiAUnderstanding","perceivedSafetyCombined","Demand","Supply","Understanding","SA"
8,2.42857142857143,"intention",NA,NA,NA,NA,NA,NA
12,2.80952380952381,"intention",NA,NA,NA,NA,NA,NA
3,4.23809523809524,"intention",NA,NA,NA,NA,NA,NA
1,4.14285714285714,"intention",NA,NA,NA,NA,NA,NA
5,2.14285714285714,"intention",NA,NA,NA,NA,NA,NA
1,5,"intention",NA,NA,NA,NA,NA,NA
1,2.71428571428571,"intention",NA,NA,NA,NA,NA,NA
2,4.14285714285714,"intention",NA,NA,NA,NA,NA,NA
8,1.76190476190476,"intention",NA,NA,NA,NA,NA,NA
2,4.14285714285714,"intention",NA,NA,NA,NA,NA,NA
5,1.76190476190476,"intention",NA,NA,NA,NA,NA,NA
1,4.14285714285714,"intention",NA,NA,NA,NA,NA,NA
5,2.80952380952381,"intention",NA,NA,NA,NA,NA,NA
1,2.14285714285714,"intention",NA,NA,NA,NA,NA,NA
3,2.33333333333333,"intention",NA,NA,NA,NA,NA,NA
1,1.66666666666667,"intention",NA,NA,NA,NA,NA,NA
1,1.66666666666667,"intention",NA,NA,NA,NA,NA,NA
11,4,"trajectory-pre",2.5,1.25,14,20,15,21
15,4,"trajectory-pre",3,1,13,19,14,20
10,4,"trajectory-pre",4.5,2,14,22,18,26
5,4,"trajectory-pre",4,2,6,12,17,23
6,4.5,"trajectory-pre",4.25,2.75,5,15,18,28
1,3,"trajectory-pre",3.5,2,15,13,14,12
5,2,"trajectory-pre",2.75,1.75,18,17,12,11
8,5,"trajectory-pre",4.5,2.5,20,26,20,26
19,5,"trajectory-pre",4,3,6,20,15,29
5,2,"trajectory-pre",2.25,-0.5,20,17,11,8
7,2.5,"trajectory-pre",2.75,-1.25,13,17,11,15
14,4,"trajectory-pre",3.5,-1.75,18,21,16,19
8,2.5,"trajectory-pre",3.5,3,11,16,13,18
1,3,"trajectory-pre",5,2.5,14,19,21,26
19,4.5,"trajectory-pre",4,2.75,15,26,18,29
19,4,"trajectory-pre",3.75,2,20,21,12,13
8,4,"trajectory-pre",4,1.5,15,24,14,23
14,3.5,"trajectory-pre",3.25,2,10,15,11,16
4,4,"trajectory-pre",4.5,2,15,20,11,16
7,4,"trajectory-pre",4,1.25,16,19,11,14
7,3.5,"trajectory-pre",4,-2.75,13,17,17,21
